Fecha,Empresa,Precio_cierre
,,
2005-04-01,ACCIONA,36.337158203125
2005-04-04,ACCIONA,35.794036865234375
2005-04-05,ACCIONA,36.23371505737305
2005-04-06,ACCIONA,36.38888168334961
2005-04-07,ACCIONA,36.285430908203125
2005-04-08,ACCIONA,36.1302604675293
2005-04-11,ACCIONA,36.67337417602539
2005-04-12,ACCIONA,36.72509002685547
2005-04-13,ACCIONA,37.08717727661133
2005-04-14,ACCIONA,36.337158203125
2005-04-15,ACCIONA,35.173336029052734
2005-04-18,ACCIONA,34.00950241088867
2005-04-19,ACCIONA,34.707801818847656
2005-04-20,ACCIONA,34.190547943115234
2005-04-21,ACCIONA,33.854339599609375
2005-04-22,ACCIONA,33.9836540222168
2005-04-25,ACCIONA,33.72501373291016
2005-04-26,ACCIONA,34.1646842956543
2005-04-27,ACCIONA,34.26813888549805
2005-04-28,ACCIONA,34.44917297363281
2005-04-29,ACCIONA,34.47504425048828
2005-05-02,ACCIONA,35.50954818725586
2005-05-03,ACCIONA,35.92335510253906
2005-05-04,ACCIONA,35.40609359741211
2005-05-05,ACCIONA,35.63886642456055
2005-05-06,ACCIONA,35.63886642456055
2005-05-09,ACCIONA,35.40609359741211
2005-05-10,ACCIONA,35.45783615112305
2005-05-11,ACCIONA,35.81989669799805
2005-05-12,ACCIONA,36.1302604675293
2005-05-13,ACCIONA,36.49234390258789
2005-05-16,ACCIONA,36.3112907409668
2005-05-17,ACCIONA,35.87163543701172
2005-05-18,ACCIONA,36.98372268676758
2005-05-19,ACCIONA,36.569915771484375
2005-05-20,ACCIONA,36.67337417602539
2005-05-23,ACCIONA,36.9319953918457
2005-05-24,ACCIONA,36.51820373535156
2005-05-25,ACCIONA,37.16476821899414
2005-05-26,ACCIONA,37.39754104614258
2005-05-27,ACCIONA,37.47511291503906
2005-05-30,ACCIONA,38.79412841796875
2005-05-31,ACCIONA,38.53549575805664
2005-06-01,ACCIONA,38.63729095458984
2005-06-02,ACCIONA,38.68971252441406
2005-06-03,ACCIONA,38.32274627685547
2005-06-06,ACCIONA,39.318824768066406
2005-06-07,ACCIONA,40.15761184692383
2005-06-08,ACCIONA,40.21004486083984
2005-06-09,ACCIONA,40.865360260009766
2005-06-10,ACCIONA,41.15369415283203
2005-06-13,ACCIONA,41.23233413696289
2005-06-14,ACCIONA,41.363399505615234
2005-06-15,ACCIONA,40.55080032348633
2005-06-16,ACCIONA,40.81293487548828
2005-06-17,ACCIONA,41.15369415283203
2005-06-20,ACCIONA,40.3673210144043
2005-06-21,ACCIONA,41.28475189208984
2005-06-22,ACCIONA,42.46432113647461
2005-06-23,ACCIONA,42.38568878173828
2005-06-24,ACCIONA,41.96627807617188
2005-06-27,ACCIONA,42.01871490478516
2005-06-28,ACCIONA,42.75265502929688
2005-06-29,ACCIONA,43.06721496582031
2005-06-30,ACCIONA,42.98857498168945
2005-07-01,ACCIONA,43.48661422729492
2005-07-04,ACCIONA,43.670108795166016
2005-07-05,ACCIONA,43.35554885864258
2005-07-06,ACCIONA,44.24676513671875
2005-07-07,ACCIONA,42.883731842041016
2005-07-08,ACCIONA,44.16814041137695
2005-07-11,ACCIONA,44.299198150634766
2005-07-12,ACCIONA,43.82737350463867
2005-07-13,ACCIONA,45.03315353393555
2005-07-14,ACCIONA,45.03315353393555
2005-07-15,ACCIONA,44.82344436645508
2005-07-18,ACCIONA,44.66617584228516
2005-07-19,ACCIONA,45.2952766418457
2005-07-20,ACCIONA,45.5836181640625
2005-07-21,ACCIONA,45.21663665771485
2005-07-22,ACCIONA,44.92830276489258
2005-07-25,ACCIONA,44.299198150634766
2005-07-26,ACCIONA,45.03315353393555
2005-07-27,ACCIONA,45.11179733276367
2005-07-28,ACCIONA,45.03315353393555
2005-07-29,ACCIONA,44.43025970458984
2005-08-01,ACCIONA,45.40012741088867
2005-08-02,ACCIONA,45.63603591918945
2005-08-03,ACCIONA,45.53118896484375
2005-08-04,ACCIONA,45.45254135131836
2005-08-05,ACCIONA,45.5836181640625
2005-08-08,ACCIONA,46.579681396484375
2005-08-09,ACCIONA,46.26513671875
2005-08-10,ACCIONA,46.68453979492188
2005-08-11,ACCIONA,45.66225051879883
2005-08-12,ACCIONA,45.03315353393555
2005-08-15,ACCIONA,45.0069465637207
2005-08-16,ACCIONA,45.08557891845703
2005-08-17,ACCIONA,44.43025970458984
2005-08-18,ACCIONA,44.56132507324219
2005-08-19,ACCIONA,45.34770202636719
2005-08-22,ACCIONA,45.66225051879883
2005-08-23,ACCIONA,45.60982894897461
2005-08-24,ACCIONA,46.21271133422852
2005-08-25,ACCIONA,45.688453674316406
2005-08-26,ACCIONA,45.871952056884766
2005-08-29,ACCIONA,45.71467590332031
2005-08-30,ACCIONA,46.8680305480957
2005-08-31,ACCIONA,47.52334976196289
2005-09-01,ACCIONA,48.07379913330078
2005-09-02,ACCIONA,48.650489807128906
2005-09-05,ACCIONA,48.67669677734375
2005-09-06,ACCIONA,48.75532913208008
2005-09-07,ACCIONA,49.35821533203125
2005-09-08,ACCIONA,49.436859130859375
2005-09-09,ACCIONA,49.69898986816406
2005-09-12,ACCIONA,49.803829193115234
2005-09-13,ACCIONA,49.46307373046875
2005-09-14,ACCIONA,49.38442611694336
2005-09-15,ACCIONA,49.69898986816406
2005-09-16,ACCIONA,50.275657653808594
2005-09-19,ACCIONA,50.590213775634766
2005-09-20,ACCIONA,50.85232925415039
2005-09-21,ACCIONA,49.83005142211914
2005-09-22,ACCIONA,49.59414291381836
2005-09-23,ACCIONA,49.69898986816406
2005-09-26,ACCIONA,49.41064834594727
2005-09-27,ACCIONA,49.69898986816406
2005-09-28,ACCIONA,49.93490219116211
2005-09-29,ACCIONA,50.0921630859375
2005-09-30,ACCIONA,49.93490219116211
2005-10-03,ACCIONA,51.63871765136719
2005-10-04,ACCIONA,52.425079345703125
2005-10-05,ACCIONA,52.45130157470703
2005-10-06,ACCIONA,51.21931838989258
2005-10-07,ACCIONA,50.773685455322266
2005-10-10,ACCIONA,51.87462615966797
2005-10-11,ACCIONA,52.37267303466797
2005-10-12,ACCIONA,51.6649169921875
2005-10-13,ACCIONA,50.38050842285156
2005-10-14,ACCIONA,50.43293762207031
2005-10-17,ACCIONA,49.35821533203125
2005-10-18,ACCIONA,48.126224517822266
2005-10-19,ACCIONA,47.18257522583008
2005-10-20,ACCIONA,47.0515251159668
2005-10-21,ACCIONA,46.10784912109375
2005-10-24,ACCIONA,46.94666290283203
2005-10-25,ACCIONA,47.89033126831055
2005-10-26,ACCIONA,46.8680305480957
2005-10-27,ACCIONA,46.605899810791016
2005-10-28,ACCIONA,46.65831756591797
2005-10-31,ACCIONA,47.83789443969727
2005-11-01,ACCIONA,48.88639068603516
2005-11-02,ACCIONA,48.38836288452149
2005-11-03,ACCIONA,48.99123764038086
2005-11-04,ACCIONA,48.02138137817383
2005-11-07,ACCIONA,47.444705963134766
2005-11-08,ACCIONA,47.706817626953125
2005-11-09,ACCIONA,47.916534423828125
2005-11-10,ACCIONA,48.44076919555664
2005-11-11,ACCIONA,49.41064834594727
2005-11-14,ACCIONA,49.3057975769043
2005-11-15,ACCIONA,51.4814453125
2005-11-16,ACCIONA,50.0135383605957
2005-11-17,ACCIONA,50.039737701416016
2005-11-18,ACCIONA,50.773685455322266
2005-11-21,ACCIONA,50.826133728027344
2005-11-22,ACCIONA,50.22323226928711
2005-11-23,ACCIONA,51.350364685058594
2005-11-24,ACCIONA,50.983394622802734
2005-11-25,ACCIONA,51.245513916015625
2005-11-28,ACCIONA,51.63871765136719
2005-11-29,ACCIONA,50.32809829711914
2005-11-30,ACCIONA,49.25336837768555
2005-12-01,ACCIONA,50.590213775634766
2005-12-02,ACCIONA,50.3018798828125
2005-12-05,ACCIONA,49.777610778808594
2005-12-06,ACCIONA,50.32809829711914
2005-12-07,ACCIONA,49.54171752929688
2005-12-08,ACCIONA,49.01746368408203
2005-12-09,ACCIONA,49.12231063842773
2005-12-12,ACCIONA,49.64656066894531
2005-12-13,ACCIONA,49.69898986816406
2005-12-14,ACCIONA,48.80774688720703
2005-12-15,ACCIONA,48.624267578125
2005-12-16,ACCIONA,48.86017227172852
2005-12-19,ACCIONA,47.96895599365234
2005-12-20,ACCIONA,48.23108673095703
2005-12-21,ACCIONA,48.83396911621094
2005-12-22,ACCIONA,48.72910690307617
2005-12-23,ACCIONA,49.227169036865234
2005-12-26,ACCIONA,49.227169036865234
2005-12-27,ACCIONA,49.803829193115234
2005-12-28,ACCIONA,49.279579162597656
2005-12-29,ACCIONA,49.436859130859375
2005-12-30,ACCIONA,49.51549530029297
2006-01-02,ACCIONA,49.803829193115234
2006-01-03,ACCIONA,50.275657653808594
2006-01-04,ACCIONA,50.32809829711914
2006-01-05,ACCIONA,50.17079544067383
2006-01-06,ACCIONA,50.17079544067383
2006-01-09,ACCIONA,50.32809829711914
2006-01-10,ACCIONA,50.22323226928711
2006-01-11,ACCIONA,50.53778839111328
2006-01-12,ACCIONA,50.56399917602539
2006-01-13,ACCIONA,50.53778839111328
2006-01-16,ACCIONA,50.95048141479492
2006-01-17,ACCIONA,50.07747650146485
2006-01-18,ACCIONA,50.39493179321289
2006-01-19,ACCIONA,51.21501159667969
2006-01-20,ACCIONA,51.47954559326172
2006-01-23,ACCIONA,50.31558227539063
2006-01-24,ACCIONA,50.342018127441406
2006-01-25,ACCIONA,52.802242279052734
2006-01-26,ACCIONA,54.31013870239258
2006-01-27,ACCIONA,55.02438354492188
2006-01-30,ACCIONA,54.49529266357422
2006-01-31,ACCIONA,54.38949966430664
2006-02-01,ACCIONA,57.193607330322266
2006-02-02,ACCIONA,56.34709167480469
2006-02-03,ACCIONA,57.4052619934082
2006-02-06,ACCIONA,56.98198318481445
2006-02-07,ACCIONA,56.1090087890625
2006-02-08,ACCIONA,57.00843048095703
2006-02-09,ACCIONA,60.26228332519531
2006-02-10,ACCIONA,59.23057174682617
2006-02-13,ACCIONA,61.90243148803711
2006-02-14,ACCIONA,60.3945541381836
